id,property_id,legacy_access_id,deal_kind,status,title,closing_reason,cancellation_reason,started_on,signed_on,cancelled_on,closed_on,deed_signed_on,notes
7fec53d4-316d-81ba-b901-0df5e9941f1f,9fc8aec6-0806-71cf-9d6c-0d4b1cbce5fb,574,closing,completed,RAV-707 closing,,,,,,,,
bb4664d0-860c-2080-8461-2dc9970681ba,712cc180-af2c-e24d-4829-d7f0f9090bbc,575,closing,completed,RAV-724 closing,,,,,,2016-10-11,,
8c499d25-e3ed-5503-6741-afed3ec80c9a,4c63401a-0159-2f69-9b1c-5c38d4828d9d,576,closing,completed,RAV-759 closing,,,,,,2016-09-20,,
bd0d4d94-f359-4c44-8820-3cda0d1977b6,59f4d5e4-1f7c-0644-bdf2-fad2220d03ce,577,cancellation,completed,RAV-763 cancellation,,,,,,2016-07-16,,
0ee29fee-8d05-fdc6-4b3f-d9d4a5f5a40f,4d9a3dbc-c764-46ef-9693-3cb7d7dcbfbb,578,closing,completed,RAV-769 closing,,,,,,2016-02-25,,
27d8aa3f-0f40-ed04-cf3b-95117bded123,dd0569f8-6bc8-e79d-36aa-1198d4e597e4,579,closing,completed,RAV-820 closing,,,,,,2016-05-23,,
008b16c1-df0c-3cb5-a2cf-8af9a02ec517,c2533f63-86bf-c8a0-5c56-080f8ce1f395,580,closing,completed,RAV-842 closing,,,,,,2016-09-09,,
bd0366c7-f116-5201-43e6-9a4c410d283d,2df3c86e-608a-9ddb-83b0-594edf6b0197,581,closing,completed,RAV-854 closing,,,,,,2016-10-12,,
36fd11c2-ff4d-3588-8d01-47089beaa0cc,4a92541b-7a31-9873-5540-e6d38738b376,582,closing,completed,RAV-86 closing,,,,,,2012-10-23,,
ff482acf-0546-818f-44e3-6ea776fd09f6,7ec63001-6cfa-177c-c5d2-dcec5a00dc29,583,cancellation,completed,RAV-881 cancellation,,,,,,2017-04-18,,
76d55bb7-5d6c-d753-0ae3-16a5024f5671,939ff0af-4b94-0eca-c149-54efaa578703,584,closing,completed,RAV-885 closing,,,,,,2016-11-24,,
2d2cad4f-32e9-e344-a664-323b3098095c,661504da-5657-01f1-1ac1-665fb1253840,585,closing,completed,RAV-886 closing,,,,,,2016-11-18,,
63c91bfa-a55f-a907-16d7-358c332fda70,857d4a49-f1fe-36db-37d3-16d13cff3d97,586,closing,completed,RAV-924 closing,,,,,,2017-02-21,,
8137265c-14c3-83e2-fef7-e7d0044f166d,8599e770-9fe9-6719-d8a1-e18345078672,587,closing,draft,RAV-937 closing,,,,,,,,
fcb2544b-f53c-d2e8-fe0f-559c7e72c0f8,9d781ede-b574-628f-4faa-44c13caafef1,588,closing,draft,RAV-938 closing,,,,,,,,
a2e95c4b-f25c-c2db-325e-b2c3a9219448,7a4c56bf-ce35-fb52-1c56-8bc8708a964e,589,closing,completed,RAV-957 closing,,,,,,2017-06-05,,
b855a8ed-5b96-0cca-1f7c-5d32eb134e53,c012e0cc-b541-7e0b-610a-1e73a23789f5,590,closing,completed,RAV-963 closing,,,,,,2017-07-17,,
c4d79036-9fe9-eaf8-747e-6617318d38d9,293ef1d9-f788-4433-226d-4a7b1f04c556,592,closing,draft,RAV-COOP115 closing,,,,,,,,
78a6bce1-cdf0-3eda-9581-5e74aa846e78,55fd88a0-4b75-ac43-b323-eeded3ae61b4,593,closing,draft,RAV-COOP121 closing,,,,,,,,
e24edb97-a283-a35a-6c32-939a1fddc707,889db68a-bfde-7ac3-d164-53c21c6bafae,594,closing,completed,RAV-COOP51 closing,,,,,,2015-02-18,,
b978176f-7210-ec0b-5375-7987860a83c8,0c958b48-308e-1a1b-8c2b-bdea3caf6ac6,595,closing,completed,RAV-COOP52 closing,,,,,,2015-03-04,,
9f80375b-96a7-6113-beaa-fc9570f413be,6886e557-9eff-6a9d-6af9-1f015bbf6ffb,596,closing,completed,RAV-COOP54 closing,,,,,,2015-03-15,,
1bd212b8-56d1-193b-1402-d34aa8bc8f93,6dff31c1-c5db-0887-bf8e-90972067fcf7,597,closing,completed,RAV-COOP55 closing,,,,,,2015-03-18,,
a74c02d5-8055-2d49-7356-6a509bf939a5,bbe36f32-589c-8993-3d20-57107714634e,598,closing,completed,RAV-COOP56 closing,,,,,,2015-03-25,,
14b2b4c9-e8f4-3b5d-be6d-5ea5665fce88,190787af-f537-63d5-f9c8-66255878cf90,599,closing,completed,RAV-COOP64 closing,,,,,,2015-07-01,,
f59c8ee4-80e0-db7e-34f8-96593679a837,0383edcd-d2ab-6e17-3d97-de1cd70bcd0e,600,closing,completed,RAV-COOP86 closing,,,,,,2016-04-22,,
4f9d8944-7c01-6c50-c4ed-b904c30c48ad,4557b969-7a3c-780c-3397-4487ae5893c5,601,closing,completed,RAV-COOP90 closing,,,,,,2016-08-26,,
7846a396-9889-063c-6e5e-edfd1ea1e904,ffa9b685-8a10-f1be-0a3b-271ab389b9b4,602,cancellation,completed,RBV-650 cancellation,,,,,,2015-10-29,,
8dd5c340-9271-3bc6-dfab-537c14b4cfa2,42391ae1-22ad-86e9-cd43-e96e3e150961,603,closing,completed,RCR-100 closing,,,,,,2012-04-15,,
8f21be0d-76bd-c01f-992a-040e06f09ecf,8974d8e9-5a2c-85b7-d36f-46f816e32810,604,closing,completed,RCR-1004 closing,,,,,,2017-08-25,,
16df363a-99c8-81a9-72b4-dc12c301cb36,df5bd387-d985-1717-5b4c-a9991630ca53,605,closing,draft,RCR-1018 closing,,,,,,,,
38e00b7a-51be-15c3-e945-eb890ffbafa0,706ac800-574e-9633-fccd-9d1666df11cd,606,closing,completed,RCR-1027 closing,,,,,,2017-09-16,,
3d830516-308b-98ae-09db-708b0cf18acd,bfe552f2-a8b8-0473-7735-099f3780fa4e,607,closing,completed,RCR-1036 closing,,,,,,2017-10-05,,
4449fe49-a941-3b47-4f64-055382738a69,faf7afb4-61ba-e405-6687-e1d5700a0c89,608,closing,completed,RCR-1039 closing,,,,,,2017-11-03,,
0e5a6144-47b4-7c78-3475-5efc0c727fc1,f228f814-564f-fdd2-36b7-fa5904a1347e,609,closing,draft,RCR-1041 closing,,,,,,,,
a79f6828-9598-79ba-deeb-c52cdf034cfc,70cc5733-4144-7891-3fa3-b9e9fbbe0c17,610,closing,completed,RCR-1044 closing,,,,,,2017-10-16,,
abbd6e3e-d2d6-6ed3-0d93-5cd6917bd848,9d0b564d-4584-e699-b71b-22c1ffe342b5,611,closing,completed,RCR-1045 closing,,,,,,2017-12-15,,
6069b8dd-dfeb-ad47-32b7-dd2c0b1b6e6e,e2eeac84-cecf-7dfb-4ae3-cffa6e4d136b,612,closing,completed,RCR-1046 closing,,,,,,2017-11-05,,
e214b615-6cdd-13f3-3a32-77460573e121,f89712d0-bd11-e5d5-536f-1a0a8054f966,613,closing,completed,RCR-1053 closing,,,,,,2017-12-22,,
f3999400-a575-9dac-0e98-9c8c4fa2d118,55b6eb80-faa2-a70f-2aba-1edaf7bd8e5e,614,closing,completed,RCR-1057 closing,,,,,,2017-12-29,,
5708c2d4-e783-2d19-0ecc-d66866f8fa33,ea640745-8693-9e64-87c9-abf2736fd819,615,closing,completed,RCR-1058 closing,,,,,,2017-12-21,,
28ebb912-f121-4c5d-cec7-9d75bf66e9a4,2760c234-e18e-3722-24e8-e26f414eb7fe,616,closing,completed,RCR-107 closing,,,,,,2012-06-15,,
